This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199007   2.38   2.61   4.36   1.88   1.56   5.26  -3.02   3.30   2.29   0.17   2.67   4.19   5.40   1.32   0.94   5.13   7.25   2.72   1.41   0.58   7.10   3.77   6.45   4.39   4.77
199008   0.16   2.63   2.19   0.45  -1.68  -4.61  -3.55  -4.36  -2.48   6.96  -7.98 -15.38  -3.49 -11.84  -6.70  -2.79  -4.47 -10.89  -5.94  -6.14  -8.20  -9.63  -2.65  -5.84 -12.30
199009  -3.78  -4.91  -4.22  -0.82  -5.41  -6.66  -9.82  -5.00  -0.76  -0.29  -4.09  -6.81  -1.75  -7.29  -4.58  -4.51  -4.51  -6.98  -5.85  -7.19  -9.81  -8.15  -5.70 -10.36 -11.83
199010 -13.81  -9.83  -8.48  -8.11 -10.22   0.50  -7.61  -1.46  -8.62  -7.04  -3.38 -12.63  -5.32  -3.91  -4.31  -5.46  -6.57  -1.74  -8.97  -1.52   1.62   0.56  -5.38  -0.76   2.38
199011  -5.02  -5.17  -2.93  -2.58  -2.85   3.47  -1.98  -5.45  -1.50  -7.25  -3.75  -4.12  -4.36  -6.02  -2.07  -9.21  -4.29  -4.36  -2.10  -4.10  -2.29  -1.86  -3.02   1.94  -2.80
199012  -6.33  -3.49  -2.20  -3.78  -2.98  -2.55  -1.64  -1.62  -3.65   0.14  -2.08  -4.34  -3.13  -3.68  -1.96  -2.66   0.01  -1.76  -1.38  -0.05   2.99   1.09  -3.10  -0.89  -0.56
199101   1.15  -2.24   3.15   0.97   0.07   3.05   6.18   5.36   1.68   3.31   3.53   0.74   2.10   5.01   6.43   2.00   5.00   3.83   5.98   3.42   5.43   5.58   4.15  10.08   8.34
199102  -0.43   4.50   8.85   4.73   2.21  11.72   8.25   4.92   9.90   3.70  10.15  16.67   6.44  14.12   6.71   4.63  10.04  10.56  11.20  10.17   9.81   9.85   8.31   5.67  13.38
199103   1.39   1.39   6.46   2.14   2.99  -0.72   6.06  -2.27   3.47   1.89  -0.88   0.65  -0.11   0.47   2.80   1.63   3.93   3.08   0.09   1.40   1.94   3.94   2.14   4.21   2.97
199104   1.87   5.25   8.02   3.13   6.31  -0.13   5.56  10.49   6.17   5.45   2.62  -1.50   7.59  -0.31   3.83   5.13   8.84   3.30   1.42   1.64   0.72   3.55   5.41   2.92   0.09
199105  -0.76  -0.08  -2.28  -1.06  -2.75  -2.56   2.08  -2.95  -2.74   3.58  -3.88  -2.29  -3.42  -4.15  -1.66  -3.16  -0.10  -0.27  -1.28  -1.61  -2.02  -0.32  -0.67   1.43   4.18
199106   2.01   0.16   5.45   1.59   1.22  -3.03   0.70  -0.33   0.31   5.05  -0.53  -0.79  -1.93  -5.89  -2.10   5.65   0.89  -0.49  -2.38  -1.33  -1.08  -0.04   1.73  -0.18  -2.22
199107  -0.35  11.19   4.38   5.50   7.05   4.67   2.17   4.86  12.93   4.93   2.81   2.52   3.87   5.00   5.35   3.81   7.85   2.41   2.93   7.66   3.62   6.66   7.74   7.35   9.62
199108  -3.86  -3.39   0.28   0.66  -1.08  -4.94  -1.95  -0.55  -2.76   0.15   0.38  -1.15  -1.04   2.46  -3.37  -2.94   1.64  -1.96  -2.91  -1.83   0.41  -2.04  -1.63  -1.53   0.93
199109   1.92  -0.46   3.56   4.28   7.03   1.17  -1.83   2.20   2.61   2.34   1.51   3.53   2.33  -0.01   1.19  -1.11   0.40  -0.81   3.18   3.42   0.27   1.27   1.93   1.50   0.80
199110  -0.39   2.74   4.03   7.35   9.76   1.93   6.06   3.13   1.40   6.22   3.55   7.98   2.92   3.32   2.87   0.48   4.99   2.87   5.58   1.35   4.60   4.91   3.25   5.06   4.41
199111   3.92  -0.26   0.79   1.35   3.68   0.84   2.42   0.05   3.50   0.47   3.38   4.78  -0.18   5.89   1.98   4.46   2.55   0.85   0.45   0.31   2.03  -1.48  -2.67   0.76  -0.64
199112  -5.37  -2.12   0.17  -1.52  -1.94   2.24  -0.98  -0.32   0.11  -1.93   2.31   1.57  -1.30   0.30  -0.87   2.20   3.33   2.49   2.56   0.65   2.46   1.57   3.04   1.64   1.47
199201   5.15  -0.47   1.17  -0.34   2.43   2.03   1.69   2.74  -1.05  -0.38   0.79   4.53   1.13   1.86   5.94   0.81  -1.07   0.36   2.05   2.35   1.24   1.33   0.41   0.99   5.34
199202  12.16   1.19   3.76   5.97   3.97  -1.20   6.33   1.95   1.38   1.95  -1.39   2.12   2.76   1.35  -0.77   1.20   3.08  -1.89   0.90   1.23   2.45   0.58   1.32   3.59   7.46
199203   1.64  -1.92   2.64   0.05   1.91  -2.44  -2.93  -1.98  -4.59  -1.09   1.68   2.10   1.40  -1.85  -1.00   1.29   1.24  -0.31   0.90   0.07   1.04  -0.59   0.56  -0.12  -1.19
