This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML     RMW     CMA      RF
199007    1.99    2.63    0.38   -0.56    0.58    0.68
199008  -11.15   -0.62    0.27    1.09    0.01    0.66
199009  -14.55    3.31    1.27   -0.25    0.79    0.60
199010   15.04   -9.30   -5.60    2.08    2.37    0.68
199011   -8.02    1.50    1.91    2.19   -1.69    0.57
199012    0.44   -2.29   -1.83    1.73    0.96    0.60
199101    1.40   -4.57    0.19    1.69   -0.67    0.52
199102   10.01    1.85    0.71   -2.26    0.03    0.48
199103   -4.77    2.23   -0.20    1.29   -0.99    0.44
199104    0.95   -0.14   -0.28    0.66    0.37    0.53
199105   -0.84   -1.32    0.25    0.45    0.93    0.47
199106   -6.72    1.97    1.31    0.72   -0.03    0.42
199107    3.03   -2.09    0.80    1.74   -0.13    0.49
199108   -3.33    0.22    0.04    2.21   -0.70    0.46
199109    5.54   -0.33   -0.30    0.06    0.21    0.46
199110    1.41   -1.00   -2.29   -1.04    0.31    0.42
199111   -5.57    1.57   -0.66    0.91   -0.39    0.39
199112    3.82   -1.56   -0.76    0.27   -0.25    0.38
199201   -3.01    1.50    2.06    0.98    0.25    0.34
199202   -3.72    3.01    0.40    1.22    1.25    0.28
199203   -7.32    2.46    1.55    1.50   -0.14    0.34
199204   -1.13    0.89    3.38    4.51    1.20    0.32
199205    6.62    0.24    0.37   -1.28    0.88    0.28
199206   -4.61    2.36    0.24    1.51    0.08    0.32
199207   -3.46   -2.16   -1.36    0.35    1.24    0.31
199208    5.86   -4.99   -3.18   -1.72    1.39    0.26
199209   -3.02   -0.36   -0.96   -0.24    0.58    0.26
199210   -5.70   -1.51    1.07   -0.30   -1.58    0.23
199211    0.24   -2.53   -1.22    0.23    1.20    0.23
199212    0.22    1.25   -0.24    2.19    0.46    0.28
199301   -0.10    1.36    1.49   -0.10    0.51    0.23
199302    3.19    0.58    0.64   -0.76   -0.10    0.22
199303   10.01    0.00    1.22    0.20    1.96    0.25
199304    9.37    0.84    2.51   -2.40    2.27    0.24
199305    3.30    5.64   -0.69   -2.77    1.19    0.22
199306   -3.54   -0.79   -0.87   -1.08    1.10    0.25
199307    3.93   -3.24    0.72   -0.06    1.65    0.24
199308    4.81    1.22    1.66   -0.07   -0.62    0.25
199309   -3.07    1.46    0.31    1.63   -1.75    0.26
199310    0.94   -1.41    0.35    0.47   -0.72    0.22
199311   -9.12    3.78    0.45    1.79   -3.31    0.25
199312    5.74    0.12    2.80   -1.54   -0.13    0.23
199401   10.19    0.42    3.96   -3.40    4.93    0.25
199402   -0.34    1.05    1.22    0.20    1.81    0.21
199403   -3.11    1.70    1.78    0.02    0.19    0.27
199404    3.26    0.37    0.92   -1.14    1.45    0.27
199405   -0.72   -0.72    1.35   -1.13    1.84    0.32
199406    1.84   -0.88    0.69   -0.08    1.48    0.31
199407    0.19    0.42    0.95    1.19   -0.98    0.28
199408    1.07   -0.99   -0.89    1.72   -0.63    0.37
199409   -3.14    1.33    0.32    0.31   -0.20    0.37
199410    2.51   -1.81    0.75   -0.31    1.17    0.38
199411   -5.85   -0.68    0.52    0.50    0.39    0.37
199412    0.70   -0.39   -0.65   -0.47    1.09    0.44
199501   -4.65    1.63    0.13    0.81   -0.18    0.42
199502   -1.26    0.87    0.57    0.67   -1.36    0.40
199503    5.55   -3.06   -1.57    2.27   -0.15    0.46
199504    2.95   -1.83   -0.71   -0.95    0.53    0.45
199505   -2.01    1.08    0.22    0.94   -1.89    0.54
199506   -1.73    0.91    0.72    2.51   -2.33    0.47
199507    4.80   -0.96   -1.87   -1.52    0.80    0.45
199508   -3.31    2.37   -1.50    1.33    0.56    0.47
199509    0.52   -0.85   -1.07    1.87   -1.55    0.43
199510   -2.31    0.07   -0.02    0.39   -0.61    0.47
199511    1.73   -1.68   -0.30   -2.77    2.71    0.42
199512    2.96    0.06    1.29   -2.05    0.88    0.49
199601    0.26    1.78    1.45    0.23   -0.49    0.43
199602    0.10    1.15   -0.06    2.19   -1.62    0.39
199603    1.49   -0.26   -0.39   -1.10    1.28    0.39
199604    3.25    1.96    0.11   -0.96    1.36    0.46
199605   -1.36    1.78    0.33    1.27   -1.23    0.42
199606   -0.23   -1.16    1.36    1.51    0.13    0.40
199607   -3.56   -0.29    1.38    1.57   -0.59    0.45
199608   -0.35    1.01   -1.01    0.78   -1.05    0.41
199609    1.85   -2.91    0.12    0.54    0.02    0.44
199610   -1.63    1.94    0.31    1.82   -0.43    0.42
199611    2.92   -2.02    1.27    0.71   -0.51    0.41
199612   -1.90   -0.21    1.26    2.99   -1.33    0.46
199701   -4.00    2.48    1.79    2.17   -0.76    0.45
199702    0.88    0.10   -0.23   -1.16   -0.22    0.39
199703   -0.95   -1.32    1.69    1.95    0.94    0.43
199704    0.09   -2.29   -0.06    1.37    0.09    0.43
199705    7.43   -0.96   -0.65   -1.03    0.00    0.49
199706    4.01   -3.26    0.62   -0.23    1.54    0.37
199707    0.65   -4.72   -0.50    2.47   -2.46    0.43
199708   -6.94    4.13    0.13   -0.41    2.06    0.41
199709    4.64   -5.42   -1.40    3.01   -2.20    0.44
199710   -7.29    2.92    0.32    2.62    1.70    0.42
199711   -2.32   -5.04   -1.53    2.58   -1.77    0.39
199712   -0.76   -3.86   -0.21    1.12   -1.51    0.48
199801    3.84    0.02    1.16   -1.84    2.72    0.43
199802    6.02    0.43    1.59   -2.25    0.14    0.39
199803    2.84    0.34    2.74    1.83   -0.42    0.39
199804    0.56    0.45   -0.84    2.13   -1.90    0.43
199805   -0.39    0.65    1.12    1.24   -0.63    0.40
199806   -0.79   -3.05   -0.73    1.63   -0.46    0.41
199807    0.11   -2.82   -0.13    1.05   -3.01    0.40
199808  -12.05    0.69   -1.71    2.41    2.99    0.43
199809   -3.54    1.18   -2.58    0.04    3.00    0.46
199810    9.32   -3.76    3.17   -3.09   -0.06    0.32
199811    4.07   -0.60    1.29   -1.10   -2.31    0.31
199812    2.49   -1.72   -2.29    2.24   -0.51    0.38
199901    0.14    0.40   -2.63    1.48   -1.87    0.35
199902   -2.38    1.94   -1.89    2.23    0.35    0.35
199903    3.80    0.69    2.14   -2.50    0.14    0.43
199904    4.51    3.46    3.85   -1.43   -0.03    0.37
199905   -4.26    3.36   -0.81    1.33    0.73    0.34
199906    4.52    3.88    0.04    1.38   -3.90    0.40
199907    3.05    0.77    0.14   -0.13   -0.58    0.38
199908    1.41    2.05   -0.97   -1.26   -2.34    0.39
199909    1.67    0.02   -1.82   -0.14   -2.89    0.39
199910    3.12   -3.62   -3.83    1.97   -3.45    0.39
199911    4.42   -2.76  -10.96    4.86   -8.51    0.36
199912    7.60   -5.21   -6.46    4.79   -6.76    0.44
200001   -6.21    7.03   -1.83   -0.45   -1.89    0.41
200002    3.25    2.72  -10.21    2.02   -6.91    0.43
200003    2.40   -3.81    5.91   -1.23    5.13    0.47
200004   -6.65   -4.39    4.40    0.97    2.24    0.46
200005   -2.98    1.67    5.78   -2.44    5.96    0.50
200006    3.17    1.35    4.84   -3.03    1.22    0.40
200007   -4.38   -0.53    3.58   -0.24   -0.60    0.48
200008    1.23    0.54   -1.45   -3.27    1.43    0.50
200009   -5.26    0.71    3.53    2.04    1.11    0.51
200010   -4.48   -4.60    7.32    2.26    2.80    0.56
200011   -4.21    0.15    9.55    1.61    6.00    0.51
200012    1.38    0.34    4.95   -0.51    1.93    0.50
200101    0.38    0.92   -1.80   -0.54    0.31    0.54
200102   -7.89    5.02    9.58   -0.80    5.54    0.38
200103   -8.26    0.04    4.58    2.56    1.84    0.42
200104    7.59   -1.37   -0.59    1.27   -0.41    0.39
200105   -3.14    3.25    2.90    0.09    1.38    0.32
200106   -3.73    0.93    5.77   -1.52    3.39    0.28
200107   -3.07   -1.41    3.49    1.58    2.98    0.30
200108   -2.28    2.39    4.62    0.60    5.00    0.31
200109  -10.67   -2.68    1.69    1.52    1.58    0.28
200110    2.62    1.42   -3.13   -0.52   -4.58    0.22
200111    3.10   -0.93   -1.65   -1.85   -3.08    0.17
200112   -0.45   -2.15    0.89    1.07    0.48    0.15
200201   -4.73    3.33    1.83    1.93    2.10    0.14
200202    1.18    0.71    2.23    2.51    3.91    0.13
200203    5.10   -0.77   -0.14    1.47   -0.69    0.13
200204    0.98    2.47    3.27    1.33    4.18    0.15
200205    2.16    3.10    4.26    0.70    2.38    0.14
200206   -3.36    1.54    1.95    2.12    2.86    0.13
200207   -9.23    2.63    3.24    1.05    0.79    0.15
200208   -0.17   -1.17    1.65    0.34    0.29    0.14
200209  -10.43    2.91    0.41    3.12    1.16    0.14
200210    3.98   -5.99   -0.85   -2.54    0.29    0.14
200211    4.20   -2.53    0.41   -3.12   -0.10    0.12
200212   -2.54    3.50    2.32    1.94    0.55    0.11
200301   -2.68    3.26    1.93   -0.10    1.13    0.10
200302   -1.78    2.14    3.28    0.06    0.84    0.09
200303   -1.78    0.77    0.03    1.04    1.01    0.10
200304    9.25   -1.92   -0.94   -0.52    0.47    0.10
200305    7.02    2.01    0.09   -0.63   -0.36    0.09
200306    2.80    2.54    1.42    0.59    0.44    0.10
200307    2.07    1.21    2.89   -3.18    1.30    0.07
200308    3.12    2.99    1.12   -0.97    1.20    0.07
200309    4.11    3.36   -0.47    0.39   -0.56    0.08
200310    5.75    0.50    1.52   -1.88    1.26    0.07
200311    1.97   -1.91   -0.49    0.18   -0.31    0.07
200312    6.86   -1.58    0.99    0.62    0.11    0.08
200401    2.41    3.35    2.24   -1.53    3.00    0.07
200402    2.37    0.65    0.45    0.50   -1.62    0.06
200403    1.20    4.37    0.49    1.08   -1.28    0.09
200404   -2.78    0.63   -0.20    1.85    0.10    0.08
200405    0.15   -2.20   -0.61    0.48   -1.16    0.06
200406    2.82    2.18    0.75    1.53   -0.13    0.08
200407   -3.57   -0.30    1.89    1.33   -0.59    0.10
200408    0.69   -0.15    1.09    0.02   -0.46    0.11
200409    2.60   -0.31    0.49    0.15    0.62    0.11
200410    3.75   -0.03    0.16    0.32    0.26    0.11
200411    6.09    0.65    0.85   -1.93    0.73    0.15
200412    4.14   -0.08    0.97    0.01   -0.15    0.16
200501   -1.29    4.18    1.12    0.82   -0.02    0.16
200502    3.93    0.57    1.19    0.58    0.48    0.16
200503   -2.13    0.48    1.54   -0.07    0.60    0.21
200504   -2.57    0.26    0.40   -0.16   -0.22    0.21
200505   -0.49   -1.80    0.84    0.06    0.71    0.24
200506    1.88    0.93    0.70    0.97    0.33    0.23
200507    3.18    0.00    0.78   -0.02   -0.36    0.24
200508    3.17    0.14   -0.42    0.14    0.48    0.30
200509    3.49   -1.31    0.45   -0.01   -0.62    0.29
200510   -3.29    1.00    0.82   -0.78    1.40    0.27
200511    2.17   -0.13   -0.70    0.10   -1.49    0.31
200512    5.11    2.15   -1.81    0.04   -1.30    0.32
200601    5.74    0.63    1.45   -0.94   -1.64    0.35
200602   -0.52   -0.81    2.20   -1.05   -0.53    0.34
200603    3.27    0.66    0.22   -0.88   -0.75    0.37
200604    4.58    0.22    0.01    0.36   -0.17    0.36
