date,XS_Mean,XS_Std_dev,perc_25,perc_75,IQR,Max,Min,RF,recession
01-Jan-1960,14.7,6.41,10.89,16.48,5.59,28.01,6.5,3.48,-100
01-Feb-1960,12.6,3.72,10.57,14.54,3.98,18.69,6.23,3.69,-100
01-Mar-1960,11.68,4.57,7.24,14.49,7.25,18.87,5.91,3.77,-100
01-Apr-1960,13.68,4.52,11.22,16.65,5.43,20.02,5.74,3.55,-100
01-May-1960,15.53,6.32,12.59,18.99,6.4,26.97,5.41,3.57,100
01-Jun-1960,14.69,4.99,12.57,18.9,6.33,20.79,5.23,3.36,100
01-Jul-1960,13.29,4.47,10.95,16.1,5.16,19.51,5.14,2.96,100
01-Aug-1960,13.27,4.33,11.42,15.87,4.45,19.12,4.85,2.71,100
01-Sep-1960,14.2,4.53,12.54,17.76,5.23,19.5,5.13,2.33,100
01-Oct-1960,13.92,4.35,12.51,17.22,4.71,18.69,4.92,2.39,100
01-Nov-1960,12.14,6.42,8.19,15.01,6.81,21.97,1.42,2.11,100
01-Dec-1960,12.38,7.37,8.1,14.68,6.58,25.39,0.77,1.95,100
01-Jan-1961,10.9,5,8.16,14.12,5.96,14.56,1.4,2.07,100
01-Feb-1961,9.44,5.7,4.22,13.95,9.72,14.24,0,2.01,100
01-Mar-1961,9.51,5.5,4.76,13.85,9.08,14.33,0.06,2.09,-100
01-Apr-1961,10.08,4.69,6.26,13.95,7.69,14.43,2.08,1.99,-100
01-May-1961,9.12,5.75,3.48,14.04,10.56,14.52,0.42,2.09,-100
01-Jun-1961,8.82,6.15,3.37,14.08,10.71,14.55,-1.32,2.17,-100
01-Jul-1961,8.67,6.14,2.5,14.09,11.6,14.56,-0.16,2.15,-100
01-Aug-1961,9.86,4.81,6.86,14.1,7.24,14.57,1.43,2.15,-100
01-Sep-1961,10.52,4.3,7.1,14.08,6.98,14.54,3.4,2.09,-100
01-Oct-1961,10.19,4.05,6.9,14.07,7.17,14.54,4.03,2.13,-100
01-Nov-1961,12.98,9.1,6.65,14.46,7.81,33.01,3.64,2.07,-100
01-Dec-1961,8.61,4.72,4.06,13.8,9.74,14.56,2.92,2.05,-100
01-Jan-1962,6.7,5.75,1.69,13.13,11.44,14.55,-0.25,2.17,-100
01-Feb-1962,7.44,5.6,1.85,13.12,11.28,14.53,-0.29,2.29,-100
01-Mar-1962,7.25,5.58,1.72,13.12,11.4,14.51,-0.22,2.35,-100
01-Apr-1962,8.28,6.33,1.98,14.14,12.17,17.74,-0.26,2.41,-100
01-May-1962,8.05,5.77,2.21,13.8,11.59,14.31,-0.32,2.59,-100
01-Jun-1962,7.64,5.56,1.88,12.9,11.02,14.14,-0.39,2.61,-100
01-Jul-1962,8.06,6.15,1.66,13.72,12.06,16.41,-0.39,2.67,-100
01-Aug-1962,7.25,5.73,1.05,12.74,11.69,13.89,-0.33,2.74,-100
01-Sep-1962,6.68,5.75,0.66,12.64,11.98,13.75,-0.26,2.76,-100
01-Oct-1962,7.24,6.05,0.64,13.06,12.42,13.63,-0.2,2.82,-100
01-Nov-1962,7.44,6.38,0.49,13.34,12.84,15.63,-0.21,2.74,-100
01-Dec-1962,6.14,5.4,0.65,11.85,11.2,13.67,-0.09,2.8,-100
01-Jan-1963,6.53,5.82,0.77,12.63,11.86,13.72,0,2.76,-100
01-Feb-1963,6.73,5.93,0.7,12.26,11.56,13.73,-0.02,2.76,-100
01-Mar-1963,6.34,5.85,0.7,12.29,11.59,13.8,0,2.8,-100
01-Apr-1963,7.58,5.92,0.95,13.47,12.52,13.97,0,2.8,-100
01-May-1963,6.27,5.85,0.99,12.34,11.35,13.93,0,2.88,-100
01-Jun-1963,3.8,9.52,-1.18,12.31,13.49,13.94,-17.45,2.88,-100
01-Jul-1963,1.85,14.74,-0.56,12.24,12.8,13.93,-39.81,2.92,-100
01-Aug-1963,1.68,16.17,1.03,12.21,11.17,13.97,-45.82,2.96,-100
01-Sep-1963,1.44,16.17,0.65,12.16,11.51,13.97,-45.85,3.04,-100
01-Oct-1963,0.41,16.73,-2.59,12.1,14.7,13.96,-46.89,3.12,-100
01-Nov-1963,1.92,16.1,1.03,12.04,11.01,13.94,-45.73,3.18,-100
01-Dec-1963,1.85,13.11,0.48,10.79,10.31,13.94,-37.57,3.3,-100
01-Jan-1964,5.7,6.47,0.75,12.05,11.3,13.95,-6.05,3.36,-100
01-Feb-1964,6.07,5.89,0.71,12.07,11.36,13.95,-1.5,3.38,-100
01-Mar-1964,6.18,5.79,0.73,12.09,11.37,13.97,0,3.46,-100
01-Apr-1964,6.07,6.1,0.62,12.12,11.49,13.97,-2.3,3.46,-100
01-May-1964,6.53,5.84,0.64,12.16,11.53,13.99,0,3.44,-100
01-Jun-1964,7.47,5.21,2.86,11.89,9.03,14.01,0.69,3.46,-100
01-Jul-1964,6.78,5.94,1.23,11.83,10.6,14.02,-2.64,3.46,-100
01-Aug-1964,7.08,5.55,1.12,11.82,10.7,14.02,0.13,3.51,-100
01-Sep-1964,7.11,5.59,1.08,11.79,10.71,14.02,-0.3,3.44,-100
01-Oct-1964,7.25,5.56,1.13,11.71,10.57,14.03,0.23,3.44,-100
01-Nov-1964,9.42,9.07,1.15,13.5,12.36,33.08,-1.75,3.51,-100
01-Dec-1964,6.57,5.51,1.71,11.03,9.31,14.02,-2.55,3.53,-100
01-Jan-1965,7.62,5.83,0.96,12.29,11.33,14.02,-2.18,3.49,-100
01-Feb-1965,7.75,5.72,0.92,12.4,11.48,14.03,-1.08,3.53,-100
01-Mar-1965,7.2,5.75,0.91,12.08,11.17,14.02,-2.15,3.69,-100
01-Apr-1965,7.01,5.94,0.88,12.35,11.46,14.02,-3.16,3.73,-100
01-May-1965,7.38,5.94,0.86,12.68,11.81,14.01,-2.87,3.77,-100
01-Jun-1965,7,5.98,0.98,13.15,12.17,13.98,-2.32,3.85,-100
01-Jul-1965,7.05,6.05,0.85,13.32,12.47,13.94,-2.93,3.91,-100
01-Aug-1965,7.28,6.2,0.92,13.41,12.49,13.92,-4.13,3.97,-100
01-Sep-1965,7.42,6.35,0.82,13.41,12.59,14.11,-4.48,3.87,-100
01-Oct-1965,7.02,6.48,0.73,13.4,12.68,14.42,-5.1,3.87,-100
01-Nov-1965,7.11,6.57,0.66,13.41,12.75,14.71,-5.53,3.95,-100
01-Dec-1965,7,6.49,1.38,13.22,11.84,14.84,-5.73,3.91,-100
01-Jan-1966,7.15,6.52,0.48,13.46,12.98,14.73,-5.01,4.05,-100
01-Feb-1966,6.64,6.83,0.16,13.45,13.29,14.44,-6.41,4.09,-100
01-Mar-1966,7.54,5.68,0.63,13.29,12.66,14.47,-0.41,4.24,-100
01-Apr-1966,7.21,5.61,0.53,13.26,12.73,14.25,-0.52,4.3,-100
01-May-1966,7.2,5.59,0.5,13.21,12.71,13.99,-0.58,4.42,-100
01-Jun-1966,7.51,5.55,0.66,13.15,12.49,13.79,-0.5,4.52,-100
01-Jul-1966,6.98,5.58,0.65,13.08,12.43,13.71,-0.57,4.46,-100
01-Aug-1966,6.86,5.69,0.29,12.53,12.24,13.61,-0.95,4.58,-100
01-Sep-1966,6.81,5.48,0.5,11.86,11.36,13.52,-0.74,4.62,-100
01-Oct-1966,6.83,5.63,0.48,11.55,11.07,13.44,-0.76,4.85,-100
01-Nov-1966,6.74,5.53,0.36,11.32,10.96,13.39,-0.94,4.83,-100
01-Dec-1966,6.21,5.16,1.47,11.05,9.58,13.34,-0.42,4.87,-100
01-Jan-1967,7.94,5.75,1.04,12.75,11.71,16.91,-0.36,5.03,-100
01-Feb-1967,7.41,5.26,0.93,11.47,10.53,13.39,-0.5,4.93,-100
01-Mar-1967,7.6,5.28,1.45,11.93,10.48,13.45,-0.08,4.91,-100
01-Apr-1967,7.03,5.32,1.05,11.04,9.99,13.51,-0.45,4.64,-100
01-May-1967,7.34,5.08,1.39,11.01,9.62,13.54,-0.23,4.5,-100
01-Jun-1967,6.77,5.29,1.08,11.46,10.38,13.58,-0.58,4.24,-100
01-Jul-1967,6.39,5.45,1.2,11.64,10.44,13.61,-0.48,3.99,-100
01-Aug-1967,5.91,5.86,1.03,11.74,10.71,13.63,-2.9,3.89,-100
01-Sep-1967,5.54,6.61,1.12,11.58,10.46,13.65,-9.16,3.75,-100
01-Oct-1967,4.6,7.45,0.6,11.12,10.52,13.62,-11.42,3.89,-100
01-Nov-1967,4.31,7.82,0.47,10.62,10.15,13.63,-13.34,3.95,-100
01-Dec-1967,4.13,7.14,0.77,10.09,9.31,13.64,-13.96,4.07,-100
01-Jan-1968,4.23,7.66,0.37,10.53,10.16,13.6,-14.42,4.26,-100
01-Feb-1968,4,7.56,0.14,10.5,10.35,13.54,-13.72,4.42,-100
01-Mar-1968,4.63,6.76,0.37,10.51,10.14,13.48,-10.23,4.54,-100
01-Apr-1968,5.02,6.34,0.25,10.55,10.29,13.48,-8.29,4.62,-100
01-May-1968,5.82,5.65,-0.02,10.59,10.61,13.48,-2.99,4.81,-100
01-Jun-1968,5.96,5.44,0.23,10.63,10.39,13.47,-1,5.01,-100
01-Jul-1968,5.98,5.03,1.57,10.65,9.08,13.47,-0.8,5.17,-100
01-Aug-1968,6.42,5.11,0.21,10.67,10.46,13.49,-0.88,5.24,-100
01-Sep-1968,6.3,5.3,0.05,10.67,10.62,13.54,-1.07,5.34,-100
01-Oct-1968,6.74,5.69,-0.07,12.5,12.57,13.55,-1.77,5.36,-100
01-Nov-1968,6.46,5.57,-0.05,10.67,10.72,13.58,-2.21,5.3,-100
01-Dec-1968,5.71,5.44,1.21,10.11,8.9,13.58,-2.75,5.3,-100
01-Jan-1969,6.14,5.63,-0.58,10.64,11.22,13.59,-1.88,5.4,-100
01-Feb-1969,6.11,5.64,-0.35,10.62,10.97,13.57,-2.38,5.48,-100
01-Mar-1969,6.27,6.03,-0.23,13.01,13.25,13.99,-2.89,5.54,-100
01-Apr-1969,5.73,6.06,-0.51,12.31,12.82,13.51,-3.35,5.73,-100
01-May-1969,5.44,6.1,-0.96,11.58,12.53,13.45,-3.04,5.85,-100
01-Jun-1969,5.66,5.99,-1.23,12.54,13.77,13.39,-2.19,6.01,-100
01-Jul-1969,5.52,5.85,-1.11,10.84,11.95,13.3,-2.28,6.01,-100
01-Aug-1969,5.52,5.73,-1.12,10.49,11.61,13.26,-2.1,6.1,-100
01-Sep-1969,6.29,6.83,0.55,12.68,12.13,19.76,-2.9,6.42,-100
01-Oct-1969,6.54,6.35,1.64,12.64,11,17.97,-2.4,6.57,-100
01-Nov-1969,6.06,6.31,-1.03,12.59,13.62,14.63,-2.78,6.65,-100
01-Dec-1969,5.76,6.38,0.5,11.6,11.09,16.35,-3.39,6.92,-100
01-Jan-1970,5.84,6.5,-2.1,12.51,14.62,13.95,-3.03,7.06,100
01-Feb-1970,5.71,5.82,-1.21,10.74,11.95,12.95,-2.11,7.31,100
01-Mar-1970,6.12,6.16,-0.61,12.44,13.05,15.9,-2.13,7.21,100
01-Apr-1970,5.56,6.16,-1.73,12.35,14.08,13.42,-2.92,7,100
01-May-1970,5.43,6.4,-2.38,12.24,14.62,14.77,-3.18,7.02,100
01-Jun-1970,5.67,6.62,-1.8,12.12,13.92,17.51,-2.82,6.9,100
01-Jul-1970,5.14,5.82,-1.21,10.47,11.69,12.49,-3.07,6.73,100
01-Aug-1970,4.98,5.58,-0.95,10.28,11.22,12.42,-2.32,6.55,100
01-Sep-1970,5.17,5.69,-0.41,10.22,10.63,12.38,-2.15,6.49,100
01-Oct-1970,5.34,5.86,0.06,11.92,11.86,12.36,-2.27,6.4,100
01-Nov-1970,5.11,5.51,-0.36,10.47,10.83,12.4,-1.5,6.26,100
01-Dec-1970,4.54,5.22,-0.38,10.43,10.8,12.51,-1.42,5.93,-100
01-Jan-1971,5.26,5.46,0.31,11.14,10.83,12.6,-1.05,5.65,-100
01-Feb-1971,5.48,5.5,0.43,11.9,11.47,12.67,-1.07,5.24,-100
01-Mar-1971,5.42,5.49,0.52,12.29,11.77,12.73,-0.77,4.75,-100
01-Apr-1971,5.42,5.72,0.22,12.39,12.17,13.09,-1.11,4.38,-100
01-May-1971,5.62,5.83,0.47,12.44,11.97,13.09,-1.12,4.03,-100
01-Jun-1971,5.02,5.9,0,12.47,12.47,12.91,-1.58,3.93,-100
01-Jul-1971,5.2,5.96,0,12.03,12.03,12.89,-2.17,3.97,-100
01-Aug-1971,5.21,5.92,0,11.23,11.23,12.89,-2.64,4.26,-100
01-Sep-1971,5.35,5.96,0,10.4,10.4,12.86,-2.96,4.4,-100
01-Oct-1971,5.24,5.92,0,10.18,10.18,12.81,-3.26,4.58,-100
01-Nov-1971,5.47,6.01,0,10.28,10.28,12.77,-3.43,4.75,-100
01-Dec-1971,5.81,6.19,-0.05,12.5,12.55,13.25,-3.16,4.75,-100
01-Jan-1972,6.37,6.68,-0.02,12.69,12.71,13.7,-2.77,4.52,-100
01-Feb-1972,7.01,7.41,-0.17,12.71,12.88,20.28,-2.29,4.07,-100
01-Mar-1972,6.32,6.33,-0.37,12.73,13.1,13.2,-2.05,3.87,-100
01-Apr-1972,6.47,6.25,-0.56,12.41,12.97,13.05,-2.12,3.71,-100
01-May-1972,11.3,14.89,-0.2,12.91,13.12,43.87,-2,3.57,-100
01-Jun-1972,11.07,13.71,0.7,12.82,12.13,40.77,-2.04,3.4,-100
01-Jul-1972,9.79,10.69,1.27,12.81,11.53,31.68,-1.98,3.44,-100
01-Aug-1972,7.97,7.21,1.75,12.8,11.05,19.6,-2.22,3.53,-100
