
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198801  -4.10  -0.67  -5.97  -1.63  -3.60  -7.13  -5.30  -2.82  -3.80 -99.99
198802   2.69   3.59  -0.75   4.22   6.22   7.44  -1.97   3.56   6.11 -99.99
198803   8.08   2.73  12.85   4.32   8.09   4.14  13.43   3.00  10.39 -99.99
198804   3.74   6.42  -0.29   5.83   4.60   5.77   2.73   9.06   3.29 -99.99
198805   5.67   5.03   5.94   5.32   8.29   6.88   5.87   5.84   6.11 -99.99
198806  -0.67   2.42  -3.71   3.81  -2.03   0.05  -6.57   3.54  -4.01 -99.99
198807   0.34   0.72  -0.27   0.69   2.20   0.50   1.05   2.33   1.08 -99.99
198808  -5.03  -7.36  -7.83  -4.32  -5.14  -7.11  -3.50  -3.20  -4.47 -99.99
198809  -4.81  -2.63  -5.95  -3.92  -4.19  -4.37  -6.98  -5.64  -3.14 -99.99
198810   8.26   6.57  10.31   5.95  10.46   6.80   8.11   7.76  12.20 -99.99
198811   7.54   6.43   6.36   9.75   9.22   4.08   4.48   8.42   8.81 -99.99
198812  -4.06  -2.52  -5.20  -4.05  -5.01  -2.90  -3.42  -3.68  -5.56 -99.99
198901  -2.11   0.92  -1.56  -5.69   1.33  -5.54  -1.78  -3.89   2.26  -8.16
198902   3.29   9.67   4.65  -1.31   7.16  -1.04   4.06   1.94   4.49  -1.66
198903   5.44   7.45   6.43   1.25  10.78   1.84   3.38   6.14   9.69   0.23
198904   3.36   6.66   2.93   9.66   2.93   9.22   1.70   6.62   1.54  -7.70
198905   2.69   6.37   2.85   0.99   2.68   1.43   5.80   3.81   1.71   4.74
198906 -11.04  -9.70 -10.77 -12.94  -9.23 -13.24 -10.50 -11.72  -8.95 -14.12
198907   4.49   4.24   4.21   4.98   3.29   5.17   4.55   4.14   3.93   1.30
198908  -7.40  -5.21  -8.16  -8.85  -5.98  -9.22  -6.34  -8.72  -6.86  -4.36
198909  -5.74  -0.70  -6.38  -8.45  -4.36  -6.95  -5.73  -5.88  -6.40 -14.31
198910  -3.63  -3.42  -4.19  -0.40  -3.59  -1.28  -1.99  -4.12  -3.07 -20.54
198911  -6.04  -4.92  -7.05  -0.45  -8.53  -0.78  -7.88  -5.99  -8.80  -3.94
198912   6.22  15.19   6.41   3.34   8.44   1.89  10.51   3.36   4.76  14.94
199001  11.94  14.28  13.16  24.58   8.85   8.65  12.30   7.21  11.22 -99.99
