
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  47.74  55.60  31.36  55.46  57.21  31.65  35.49  35.26  60.60   9.82
197502  23.64  26.47  22.59  25.89  22.84  22.75  16.53  23.70  27.56  13.60
197503   5.30  10.81   2.17   6.58   5.89   7.62   8.38   3.72   3.50   2.84
197504  -1.09  -3.24   3.51   0.47  -2.51   7.58  -1.45   0.67  -1.11 -12.66
197505  -7.21  -9.33  -4.64  -8.57  -7.09  -5.21  -8.97  -5.08  -6.50   0.71
197506 -10.09  -8.52  -8.25 -12.68 -11.50  -8.55  -5.74 -12.13 -12.02  -0.71
197507  -8.20  -5.81 -10.59  -6.68  -7.06  -6.04  -6.10  -7.35 -10.88  -7.41
197508  -5.27  -5.68  -4.24  -4.61  -6.41  -1.81  -4.71  -2.97  -7.19   0.20
197509  -1.01  -2.65  -0.12  -2.84  -0.14  -2.27  -0.82  -1.35   0.54  -3.71
197510  11.01  16.55   4.56  14.64  13.93   6.49   7.01   5.67  13.10   4.70
197511  -3.34  -3.04  -4.68  -2.40  -2.59  -2.85  -2.62  -3.05  -3.12  -3.92
197512   5.71   2.20   2.26   2.10   9.00   2.81   6.74   3.47   8.44 -99.99
197601  23.37  25.43  21.84   8.89  26.49   8.89  23.42  13.79  25.36  22.25
197602  -2.27  -8.11  -1.89  -0.19  -1.16  -1.85  -0.47  -2.34  -1.80  -5.38
197603  -8.41  -6.91  -9.25  -2.77 -10.97  -0.87  -8.67  -2.38 -10.60  -1.65
197604   6.95   4.39  10.98   6.39   8.82   7.79   2.24   5.34   9.75   0.36
197605  -4.14  -4.87  -3.98  -2.00  -3.86  -1.42  -6.18  -2.10  -4.50   0.46
197606   2.01  -0.26   1.21   1.13   2.80   1.20   3.86   0.62   2.20  -8.41
197607  -2.58  -2.53  -3.57  -1.03  -4.02  -0.22  -1.47  -0.62  -3.59 -16.34
197608   3.60   5.78   3.55   1.07   4.02   1.73   2.04   2.09   4.10  -1.16
197609   0.35   4.26  -2.42   4.32  -1.21   4.55   1.58   5.08  -2.39   4.05
197610  -5.98  -6.27  -4.73  -4.89  -6.90  -3.94  -8.74  -4.50  -6.39  -8.35
197611  -3.56  -1.76  -3.85  -1.78  -5.50  -2.74  -5.61  -0.37  -5.29   1.83
197612   5.91   4.75   5.09   3.82   8.01   3.55   8.01   3.61   7.83   7.59
197701  -0.99  -1.12  -1.60   0.36  -2.19  -2.02   0.83   1.36  -3.02   0.95
197702  -1.06   1.07  -2.51   1.59  -2.58  -0.41  -0.34   0.95  -2.22  -1.19
197703  -2.00  -1.46  -3.92  -0.55  -4.56  -0.81  -1.21   3.76  -4.75  -2.29
197704  -2.38  -3.58  -2.36  -2.94  -3.56  -1.51  -2.94  -2.67  -2.59   1.03
197705   0.32  -0.36   0.31  -1.25  -0.09   0.60   0.20   3.61  -0.98   2.13
197706   4.20   5.42   1.70   3.64   4.09   4.29   6.35   4.43   2.71   7.66
197707   2.69   2.30   0.62  -3.72   3.58   2.20   4.13  -1.87   5.47   2.51
197708   1.65   1.78   1.87   4.41  -1.41   4.80   0.24   6.38  -0.99  13.52
197709  -2.43  -1.82  -2.26  -0.64  -2.90  -2.32  -3.01   0.67  -2.85  -4.89
197710   0.60   0.93  -0.46   1.56  -1.62  -0.29   1.86   2.86  -1.59   2.84
197711   2.61   8.48  -0.51   5.24   2.03   5.68   3.56   5.34   0.27   4.51
197712   1.49   0.70   2.40   1.89   1.79   2.66  -0.08   2.08   1.77   4.71
197801  -0.91   0.32  -0.99  -1.44  -2.91  -3.40  -1.61   0.03  -2.32  -2.01
197802   0.72   0.90   0.82   2.15  -0.57   5.80   1.34   1.41  -0.32   7.79
197803   9.41   6.90   6.56   7.65   8.48   7.18   6.45   9.19   8.15   7.73
197804   5.02   8.85   2.90   4.83   2.61   6.72   4.13   3.86   4.57   9.31
197805   5.77   9.74   7.85   7.05   9.19   8.37   5.13   5.25   8.18  22.84
197806  11.57   6.73  11.21   9.50  11.06  10.67   9.22   7.41  13.20   1.61
197807   4.79  -0.61   2.99   6.20   2.49   3.65   3.46   7.93   1.97  -1.67
197808  16.04  25.09  14.11  15.00  20.04  16.31   9.39  12.82  20.53  30.38
197809 -11.28 -13.71 -11.79  -9.93 -13.67  -7.48 -10.85 -12.85 -12.17 -13.58
197810  15.03  15.35  15.74  14.63  11.54  16.39  14.12  14.55  14.30  20.37
197811 -18.02 -14.65 -16.80 -16.31 -18.81 -16.39 -17.20 -17.16 -16.49  -8.39
197812   3.44   4.27   3.90   3.11   3.03   5.54   5.31   3.25   3.08   9.39
197901   9.32  11.17   7.01  11.89   8.36  13.10   5.75   8.22   9.85   5.45
197902  -5.77  -8.39  -2.32  -7.08  -6.57  -8.36  -1.38  -1.09  -6.16  -5.70
197903   6.13  10.77   4.77   5.34   9.12   7.03   6.50   6.81   8.69   9.24
197904   2.73   2.76   2.81   1.19   1.41  -0.74   3.00   3.38   2.79   5.94
197905   4.66   5.76   4.06   3.72   3.78   3.43   5.87   6.69   3.79   3.87
197906  -4.03  -5.20  -2.61  -5.96  -3.76  -7.38  -1.96  -3.06  -4.10  -7.08
197907   1.97   5.62   3.26   2.57   3.72   0.64   0.55   0.68   4.23  11.11
197908   4.03   3.67   3.40   4.19   4.59   5.00   3.47   1.92   3.20   3.08
